sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	bone_marrow_transplant_timestamp	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	donor_genotype	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	irradiated	irradiation_dosage	irradiation_dosage_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	title	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
13189.WT6.tp8			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-03-13 00:00:00		2020-03-13 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-6	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	6			13189	feces	mouse gut metagenome	female	266.59	ng/ul	Box1-74	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1104			grams
13189.WT7.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-7	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		3	7			13189	feces	mouse gut metagenome	female	62.2	ng/ul	Box1-3	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1463			grams
13189.WT7.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-7	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	7			13189	feces	mouse gut metagenome	female	57.4	ng/ul	Box1-23	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1513			grams
13189.WT7.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-7	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	7			13189	feces	mouse gut metagenome	female	92.9	ng/ul	Box1-43	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1041			grams
13189.WT7.tp6			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-28 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-7	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	7			13189	feces	mouse gut metagenome	female	167.9	ng/ul	Box1-63	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1978			grams
13189.WT7.tp8			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-03-13 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-7	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	7			13189	feces	mouse gut metagenome	female	58.78	ng/ul	Box1-75	410661	8 weeks after BMT	8	pax5 bone marrow transplant	288			grams
13189.WT8.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-8	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		7	8			13189	feces	mouse gut metagenome	female	58.4	ng/ul	Box1-4	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1396			grams
13189.WT8.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-8	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	8			13189	feces	mouse gut metagenome	female	53.2	ng/ul	Box1-24	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1475			grams
13189.WT8.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-8	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	8			13189	feces	mouse gut metagenome	female	209.2	ng/ul	Box1-44	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0987			grams
13189.WT8.tp6			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-28 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-8	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	8			13189	feces	mouse gut metagenome	female	92.6	ng/ul	Box1-64	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1522			grams
13189.WT8.tp8			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-03-13 00:00:00					no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-8	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		7	8			13189	feces	mouse gut metagenome	female	140.05	ng/ul	Box1-76	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.3117			grams
13189.water.85.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.86.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.87.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.88.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.89.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.90.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.91.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.92.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.93.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.94.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.95.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
13189.water.96.J5TD7			not applicable		not applicable	not applicable		not applicable	2020-05-11 00:00:00		not applicable			not applicable	not applicable	38.0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		not applicable			not applicable	Germany:Duesseldorf	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	cm		not applicable	not applicable	not applicable	not applicable	grams	not applicable	not applicable	gray	51.197356		6.790546		not applicable	not applicable			13189	water control	metagenome	not applicable	not applicable	ng/ul	not applicable	256318	not applicable	not applicable	pax5 bone marrow transplant	not applicable			grams
