sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	bone_marrow_transplant_timestamp	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	donor_genotype	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	irradiated	irradiation_dosage	irradiation_dosage_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	title	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
13189.WT28.tp0			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-6		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	42		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-28	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		SMN	28			13189	feces	mouse gut metagenome	female	98.7	ng/ul	Box1-16	410661	0 (before BMT)	0	pax5 bone marrow transplant	172			grams
13189.WT28.tp2			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-6		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	56		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-28	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	28			13189	feces	mouse gut metagenome	female	151.1	ng/ul	Box1-36	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.2097			grams
13189.WT28.tp4			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-6		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	70		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-28	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	28			13189	feces	mouse gut metagenome	female	194.11	ng/ul	Box1-56	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0857			grams
13189.WT28.tp6			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-6		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	84		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-28	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	28			13189	feces	mouse gut metagenome	female	67.2	ng/ul	Box1-72	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.1832			grams
13189.WT28.tp8			2020-01-03 00:00:00		2020-02-14 00:00:00	CAGE-6		BMT	2020-04-10 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	98		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-28	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SMN	28			13189	feces	mouse gut metagenome	female	35.3	ng/ul	Box1-84	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1632			grams
13189.WT30.tp0			2020-01-16 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-02-28 00:00:00		2020-03-31 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	43		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-30	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		2N	30			13189	feces	mouse gut metagenome	female	106.2	ng/ul	Box1-17	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1021			grams
13189.WT30.tp2			2020-01-16 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-13 00:00:00		2020-03-31 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	57		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-30	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2N	30			13189	feces	mouse gut metagenome	female	129.39	ng/ul	Box1-37	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1381			grams
13189.WT30.tp4			2020-01-16 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-27 00:00:00		2020-03-31 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	71		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-30	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2N	30			13189	feces	mouse gut metagenome	female	149.2	ng/ul	Box1-57	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1662			grams
13189.WT31.tp0			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-02-28 00:00:00		2020-04-02 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	36		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-31	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1	31			13189	feces	mouse gut metagenome	female	83.5	ng/ul	Box1-18	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.0932			grams
13189.WT31.tp2			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-13 00:00:00		2020-04-02 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	50		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-31	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	31			13189	feces	mouse gut metagenome	female	59.26	ng/ul	Box1-38	410661	2 weeks after BMT	2	pax5 bone marrow transplant	111			grams
13189.WT31.tp4			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-27 00:00:00		2020-04-02 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	64		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-31	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	31			13189	feces	mouse gut metagenome	female	81.8	ng/ul	Box1-58	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1683			grams
13189.WT32.tp0			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-02-28 00:00:00		2020-04-01 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	36		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-32	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		SM	32			13189	feces	mouse gut metagenome	female	70	ng/ul	Box1-19	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1179			grams
13189.WT32.tp2			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-13 00:00:00		2020-04-01 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	50		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-32	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	32			13189	feces	mouse gut metagenome	female	60.81	ng/ul	Box1-39	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1107			grams
13189.WT32.tp4			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-7		BMT	2020-03-27 00:00:00		2020-04-01 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	64		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-32	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		SM	32			13189	feces	mouse gut metagenome	female	40.9	ng/ul	Box1-59	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.1237			grams
13189.WT36.tp0			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-8		BMT	2020-02-28 00:00:00		2020-03-30 00:00:00			no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	36		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-36	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		3	36			13189	feces	mouse gut metagenome	female	69.1	ng/ul	Box1-20	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.0912			grams
13189.WT36.tp2			2020-01-23 00:00:00		2020-02-28 00:00:00	CAGE-8		BMT	2020-03-13 00:00:00		2020-03-30 00:00:00			no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	50		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-36	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		3	36			13189	feces	mouse gut metagenome	female	84.59	ng/ul	Box1-40	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.0699			grams
