sample_name	birth_timestamp	cage	cage_timestamp	cohort	collection_timestamp	death_timestamp	demux_index	description	diseased	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	facility	father_subject_id	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mother_subject_id	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	start_cohousing_timestamp	stool_dna_concentration	stool_dna_concentration_units	taxon_id	timepoint_title	title	tube_number	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
11758.WT11.nr34.tp10	2017-02-06	6	2017-03-16	cohousing	2018-01-26	not collected	32	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	354	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-11	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 32	-5.66388	not provided	1	34	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-03-16 00:00:00	97.1	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.137	0.13	grams	grams
11758.WT12.nr35.tp01	2017-02-06	6	2017-03-16	cohousing	2017-04-27	not collected	38	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	80	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-12	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 35	-5.66388	not provided	SM	35	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-03-16 00:00:00	0.084	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	35	98.4	0.091	grams	grams
11758.WT12.nr35.tp10	2017-02-06	6	2017-03-16	cohousing	2018-01-26	not collected	33	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	354	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-12	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 33	-5.66388	not provided	SM	35	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-03-16 00:00:00	106.1	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.125	0.177	grams	grams
11758.WT13.nr36.tp01	2017-02-06	6	2017-03-16	cohousing	2017-04-27	not collected	37	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	80	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-13	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 36	-5.66388	not provided	SMN	36	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-03-16 00:00:00	0.153	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	36	304.4	0.139	grams	grams
11758.WT13.nr36.tp10	2017-02-06	6	2017-03-16	cohousing	2018-01-26	not collected	34	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	354	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-13	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 34	-5.66388	not provided	SMN	36	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-03-16 00:00:00	121.2	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.224	0.282	grams	grams
11758.WT2.nr5.tp01	2016-12-08	1	2017-01-23	cohousing	2017-03-06	2018-02-08	4	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	88	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-2	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 5	-5.66388	not provided	2N	5	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	212	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	5	0.215	0.145	grams	grams
11758.WT2.nr5.tp10	2016-12-08	1	2017-01-23	cohousing	2017-12-01	2018-02-08	4	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	358	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-2	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 4	-5.66388	not provided	2N	5	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	83.6	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.206	0.132	grams	grams
11758.WT3.nr6.tp01	2016-12-08	1	2017-01-23	cohousing	2017-03-06	2018-02-08	3	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	88	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-3	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 6	-5.66388	not provided	3N	6	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	100.2	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	6	0.306	0.153	grams	grams
11758.WT3.nr6.tp10	2016-12-08	1	2017-01-23	cohousing	2017-12-01	2018-02-08	5	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	358	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-3	10090	not collected	grams	40.96882	Box 2 - Rack6 - Caja 1D - 5	-5.66388	not provided	3N	6	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	226.5	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.234	0.206	grams	grams
11758.WT4.nr11.tp01	2016-12-08	2	2017-01-23	cohousing	2017-03-06	2018-02-08	14	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	not provided	WT	Spain:Salamanca	88	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	WT-4	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 11	-5.66388	not provided	7N	11	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	190.1	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	11	0.465	0.273	grams	grams
