sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
11953.F323.tp04	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2018-10-03	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	113	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 14	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	72.3	ng/ul	Box1 - 95	410661	During Antibiotic treatment (4 weeks after treatment initiation)	4	0.286	0.279	grams	grams
11953.F323.tp08	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2018-10-31	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	141	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 19	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	18.8	ng/ul	Box1 - 100	410661	At the end of the antibiotic treatment (8 weeks after treatment initiation)	8	0.217	0.137	grams	grams
11953.F323.tp12	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2018-12-03	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	174	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 42	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	111.8	ng/ul	Box2 - 23	410661	1 month after treatment	12	0.121	0.1	grams	grams
11953.F323.tp20	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2019-02-05	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	238	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 64	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	224.7	ng/ul	Box 2 - 45	410661	3 months after treatment	20	0.197	0.097	grams	grams
11953.F323.tp28	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2019-04-10	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	302	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 85	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	111.4	ng/ul	Box 2 - 66	410661	5 months after treatment	28	0.217	0.155	grams	grams
11953.F323.tp36	2018-10-31	2018-09-05	2018-06-13	FALSE	#ff99ff.spf_magenta	not provided	ABX	2019-05-29	2019-06-03	not collected	not provided	fecal sample F323	not provided	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	351	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	F323	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 100	-5.66388	not collected	SMN	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	95.3	ng/ul	Box 2 - 81	410661	7 months after treatment	36	0.278	0.226	grams	grams
11953.FOOD.PELLETS.box2.27	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not provided	not provided	not applicable	not provided	fecal sample FOOD.PELLETS.box2.27	not applicable	802	Free-living	Non-saline	Surface (non-saline)	urban biome	research facility	animal feed	misc environment	not applicable	CF	not applicable	not applicable	not applicable	Spain:Salamanca	not applicable	days	foodpellet	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	FOOD.PELLETS.box2.27	not applicable	not applicable	grams	40.96882	not applicable	-5.66388	not applicable	not applicable	not applicable	Germany	FALSE	11953	mouse food	food metagenome	not applicable	not provided	ng/ul	not applicable	870726	not applicable	not applicable	not applicable	not applicable	grams	grams
11953.FOOD.PELLETS.box2.28	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not provided	not provided	not applicable	not provided	fecal sample FOOD.PELLETS.box2.28	not applicable	802	Free-living	Non-saline	Surface (non-saline)	urban biome	research facility	animal feed	misc environment	not applicable	CF	not applicable	not applicable	not applicable	Spain:Salamanca	not applicable	days	foodpellet	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	FOOD.PELLETS.box2.28	not applicable	not applicable	grams	40.96882	not applicable	-5.66388	not applicable	not applicable	not applicable	Germany	FALSE	11953	mouse food	food metagenome	not applicable	not provided	ng/ul	not applicable	870726	not applicable	not applicable	not applicable	not applicable	grams	grams
11953.FOOD.SPF.box2.29	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not provided	not provided	not applicable	not provided	fecal sample FOOD.SPF.box2.29	not applicable	802	Free-living	Non-saline	Surface (non-saline)	urban biome	research facility	animal feed	misc environment	not applicable	SPF	not applicable	not applicable	not applicable	Spain:Salamanca	not applicable	days	foodpellet	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	FOOD.SPF.box2.29	not applicable	not applicable	grams	40.96882	not applicable	-5.66388	not applicable	not applicable	not applicable	Germany	FALSE	11953	mouse food	food metagenome	not applicable	not provided	ng/ul	not applicable	870726	not applicable	not applicable	not applicable	not applicable	grams	grams
11953.FOOD.SPF.box2.30	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not provided	not provided	not applicable	not provided	fecal sample FOOD.SPF.box2.30	not applicable	802	Free-living	Non-saline	Surface (non-saline)	urban biome	research facility	animal feed	misc environment	not applicable	SPF	not applicable	not applicable	not applicable	Spain:Salamanca	not applicable	days	foodpellet	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	FOOD.SPF.box2.30	not applicable	not applicable	grams	40.96882	not applicable	-5.66388	not applicable	not applicable	not applicable	Germany	FALSE	11953	mouse food	food metagenome	not applicable	not provided	ng/ul	not applicable	870726	not applicable	not applicable	not applicable	not applicable	grams	grams
11953.I329.tp0	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-09-07	ABX	2016-09-07	2017-01-16	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	68	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 7	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	111.6	ng/ul	Box1 - 94	410661	Before Antibiotic treatment	0	0.143	0.188	grams	grams
11953.I329.tp12	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-12-07	ABX	2016-12-07	2017-01-16	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	19.6	2016-12-20	Pax5+/-	Spain:Salamanca	159	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 59	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	112.5	ng/ul	Box2 - 50	410661	1 month after treatment	12	0.217	0.272	grams	grams
11953.I329.tp20	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-03-07	ABX	2017-03-07	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	16.6	2017-03-07	Pax5+/-	Spain:Salamanca	249	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 18	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	85.8	ng/ul	Box3 - 17	410661	3 months after treatment	20	0.2	0.098	grams	grams
11953.I329.tp28	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-05-02	ABX	2017-05-02	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	27.4	2017-05-05	Pax5+/-	Spain:Salamanca	305	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 35	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	97.8	ng/ul	Box3 - 34	410661	5 months after treatment	28	0.227	0.195	grams	grams
11953.I329.tp36	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-07-04	ABX	2017-07-04	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	26.5	2017-07-05	Pax5+/-	Spain:Salamanca	368	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 49	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	106.9	ng/ul	Box3 - 48	410661	7 months after treatment	36	0.22	0.149	grams	grams
11953.I329.tp4	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-10-04	ABX	2016-10-04	2017-01-16	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	not provided	not provided	Pax5+/-	Spain:Salamanca	95	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 32	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	27.1	ng/ul	Box2 - 19	410661	During Antibiotic treatment (4 weeks after treatment initiation)	4	0.238	0.165	grams	grams
11953.I329.tp40	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-09-05	ABX	2017-09-05	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	23.8	2017-09-12	Pax5+/-	Spain:Salamanca	431	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 61	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	112.4	ng/ul	Box3 - 60	410661	8 months after treatment	40	0.172	0.194	grams	grams
11953.I329.tp44	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-11-03	ABX	2017-11-03	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	24.8	2017-10-30	Pax5+/-	Spain:Salamanca	490	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 70	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	78.8	ng/ul	Box3 - 69	410661	9 months after treatment	44	0.224	0.126	grams	grams
11953.I329.tp52	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2018-01-10	ABX	2018-01-10	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	29.8	2018-01-12	Pax5+/-	Spain:Salamanca	558	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 77	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	140.1	ng/ul	Box3 - 76	410661	11 months after treatment	52	0.139	0.207	grams	grams
11953.I329.tp60	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2018-03-15	ABX	2018-03-15	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	34.6	2018-03-16	Pax5+/-	Spain:Salamanca	622	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box4: Rack 9 2C - 2	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	153.3	ng/ul	Box3 - 82	410661	13 months after treatment	60	0.185	0.154	grams	grams
11953.I329.tp68	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2018-04-19	ABX	2018-04-19	2018-05-07	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	30.1	2018-05-03	Pax5+/-	Spain:Salamanca	657	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box4: Rack 9 2C - 3	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	116.7	ng/ul	Box3 - 83	410661	15 months after treatment	68	0.327	0.162	grams	grams
11953.I329.tp8	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-11-02	ABX	2016-11-02	2017-01-16	2018-05-25	not provided	fecal sample I329	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	not provided	not provided	Pax5+/-	Spain:Salamanca	124	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I329	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 36	-5.66388	no	not provided	24	Germany	TRUE	11953	feces	mouse gut metagenome	female	0	ng/ul	Box2 - 23	410661	At the end of the antibiotic treatment (8 weeks after treatment initiation)	8	0.189	0.31	grams	grams
11953.I331.tp0	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-09-07	ABX	2016-09-07	2017-01-16	2018-02-06	not provided	fecal sample I331	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	68	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I331	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 8	-5.66388	no	not provided	25	Germany	TRUE	11953	feces	mouse gut metagenome	female	77.2	ng/ul	Box1 - 95	410661	Before Antibiotic treatment	0	0.252	0.17	grams	grams
11953.I331.tp12	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2016-12-07	ABX	2016-12-07	2017-01-16	2018-02-06	not provided	fecal sample I331	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	20.3	2016-12-20	Pax5+/-	Spain:Salamanca	159	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I331	10090	not collected	grams	40.96882	Box2: Rack 5 5D - 60	-5.66388	no	not provided	25	Germany	TRUE	11953	feces	mouse gut metagenome	female	105.5	ng/ul	Box2 - 51	410661	1 month after treatment	12	0.035	0.064	grams	grams
11953.I331.tp20	2016-11-02	2016-09-07	2016-07-01	FALSE	#c3d69b.green	2017-03-07	ABX	2017-03-07	2018-05-07	2018-02-06	not provided	fecal sample I331	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	2016-11-02	CF	20	2017-03-07	Pax5+/-	Spain:Salamanca	249	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	not provided	Mus musculus	I331	10090	not collected	grams	40.96882	Box3: Rack 5 5D - 19	-5.66388	no	not provided	25	Germany	TRUE	11953	feces	mouse gut metagenome	female	224.5	ng/ul	Box3 - 18	410661	3 months after treatment	20	0.322	0.1	grams	grams
